y	yend	x	xend	key	clickSelects	showSelected2	PANEL
-25.2	1.2	0.0237343937624246	0.0237343937624246	2 0.0237343937624246	X1<0.023734	2	1
-25.2	1.2	0.0248533471021801	0.0248533471021801	2 0.0248533471021801	X1<0.024853	2	1
-25.2	1.2	0.030959413619712	0.030959413619712	2 0.030959413619712	X1<0.030959	2	1
-25.2	1.2	0.0395219983765855	0.0395219983765855	2 0.0395219983765855	X1<0.039522	2	1
-25.2	1.2	0.0435703630791977	0.0435703630791977	2 0.0435703630791977	X1<0.043570	2	1
-25.2	1.2	0.0550734286662191	0.0550734286662191	2 0.0550734286662191	X1<0.055073	2	1
-25.2	1.2	0.0655585838248953	0.0655585838248953	2 0.0655585838248953	X1<0.065559	2	1
-25.2	1.2	0.0704574675764889	0.0704574675764889	2 0.0704574675764889	X1<0.070457	2	1
-25.2	1.2	0.0763374969828874	0.0763374969828874	2 0.0763374969828874	X1<0.076337	2	1
-25.2	1.2	0.078479875694029	0.078479875694029	2 0.078479875694029	X1<0.078480	2	1
-25.2	1.2	0.0821269832085818	0.0821269832085818	2 0.0821269832085818	X1<0.082127	2	1
-25.2	1.2	0.0860745509853587	0.0860745509853587	2 0.0860745509853587	X1<0.086075	2	1
-25.2	1.2	0.0900922525906935	0.0900922525906935	2 0.0900922525906935	X1<0.090092	2	1
-25.2	1.2	0.0970493158092722	0.0970493158092722	2 0.0970493158092722	X1<0.097049	2	1
-25.2	1.2	0.103078606305644	0.103078606305644	2 0.103078606305644	X1<0.103079	2	1
-25.2	1.2	0.107819334021769	0.107819334021769	2 0.107819334021769	X1<0.107819	2	1
-25.2	1.2	0.11281948746182	0.11281948746182	2 0.11281948746182	X1<0.112819	2	1
-25.2	1.2	0.11519660113845	0.11519660113845	2 0.11519660113845	X1<0.115197	2	1
-25.2	1.2	0.116796790622175	0.116796790622175	2 0.116796790622175	X1<0.116797	2	1
-25.2	1.2	0.123480718466453	0.123480718466453	2 0.123480718466453	X1<0.123481	2	1
-25.2	1.2	0.128917979658581	0.128917979658581	2 0.128917979658581	X1<0.128918	2	1
-25.2	1.2	0.129889608710073	0.129889608710073	2 0.129889608710073	X1<0.129890	2	1
-25.2	1.2	0.131496121990494	0.131496121990494	2 0.131496121990494	X1<0.131496	2	1
-25.2	1.2	0.135558155016042	0.135558155016042	2 0.135558155016042	X1<0.135558	2	1
-25.2	1.2	0.143081043031998	0.143081043031998	2 0.143081043031998	X1<0.143081	2	1
-25.2	1.2	0.148332321085036	0.148332321085036	2 0.148332321085036	X1<0.148332	2	1
-25.2	1.2	0.149858307442628	0.149858307442628	2 0.149858307442628	X1<0.149858	2	1
-25.2	1.2	0.150485596386716	0.150485596386716	2 0.150485596386716	X1<0.150486	2	1
-25.2	1.2	0.156851156265475	0.156851156265475	2 0.156851156265475	X1<0.156851	2	1
-25.2	1.2	0.163921556901187	0.163921556901187	2 0.163921556901187	X1<0.163922	2	1
-25.2	1.2	0.164737868937664	0.164737868937664	2 0.164737868937664	X1<0.164738	2	1
-25.2	1.2	0.166442708112299	0.166442708112299	2 0.166442708112299	X1<0.166443	2	1
-25.2	1.2	0.170147194410674	0.170147194410674	2 0.170147194410674	X1<0.170147	2	1
-25.2	1.2	0.17518878984265	0.17518878984265	2 0.17518878984265	X1<0.175189	2	1
-25.2	1.2	0.178294185781851	0.178294185781851	2 0.178294185781851	X1<0.178294	2	1
-25.2	1.2	0.179636680521071	0.179636680521071	2 0.179636680521071	X1<0.179637	2	1
-25.2	1.2	0.181497157085687	0.181497157085687	2 0.181497157085687	X1<0.181497	2	1
-25.2	1.2	0.182773720822297	0.182773720822297	2 0.182773720822297	X1<0.182774	2	1
-25.2	1.2	0.18402334570419	0.18402334570419	2 0.18402334570419	X1<0.184023	2	1
-25.2	1.2	0.184777861577459	0.184777861577459	2 0.184777861577459	X1<0.184778	2	1
-25.2	1.2	0.185072884894907	0.185072884894907	2 0.185072884894907	X1<0.185073	2	1
-25.2	1.2	0.191020168247633	0.191020168247633	2 0.191020168247633	X1<0.191020	2	1
-25.2	1.2	0.198249337496236	0.198249337496236	2 0.198249337496236	X1<0.198249	2	1
-25.2	1.2	0.199849189142697	0.199849189142697	2 0.199849189142697	X1<0.199849	2	1
-25.2	1.2	0.20045562973246	0.20045562973246	2 0.20045562973246	X1<0.200456	2	1
-25.2	1.2	0.201244466705248	0.201244466705248	2 0.201244466705248	X1<0.201244	2	1
-25.2	1.2	0.203831824124791	0.203831824124791	2 0.203831824124791	X1<0.203832	2	1
-25.2	1.2	0.212392318877392	0.212392318877392	2 0.212392318877392	X1<0.212392	2	1
-25.2	1.2	0.222250327235088	0.222250327235088	2 0.222250327235088	X1<0.222250	2	1
-25.2	1.2	0.232360110268928	0.232360110268928	2 0.232360110268928	X1<0.232360	2	1
-25.2	1.2	0.23993882862851	0.23993882862851	2 0.23993882862851	X1<0.239939	2	1
-25.2	1.2	0.243136907112785	0.243136907112785	2 0.243136907112785	X1<0.243137	2	1
-25.2	1.2	0.251021129544824	0.251021129544824	2 0.251021129544824	X1<0.251021	2	1
