fill	xmin	xmax	ymin	ymax	key	showSelected1
#EFF8FF	-0.5	0.5	-0.3	0.3	1	0
#BEBEBE	-0.5	0.5	-0.3	0.3	1	1
#D9EFFF	-1	0	-1.3	-0.7	2	1
#FFD8CA	0	1	-1.3	-0.7	3	1
#BEBEBE	-0.5	0.5	-0.3	0.3	1	2
#D9EFFF	-1	0	-1.3	-0.7	2	2
#BEBEBE	0	1	-1.3	-0.7	3	2
#B2E1FF	-0.5	0.5	-2.3	-1.7	4	2
#FF5636	0.5	1.5	-2.3	-1.7	5	2
#BEBEBE	-0.5	0.5	-0.3	0.3	1	3
#BEBEBE	-1	0	-1.3	-0.7	2	3
#BEBEBE	0	1	-1.3	-0.7	3	3
#B2E1FF	-1.11022302462516e-16	1	-2.3	-1.7	4	3
#FF5636	1	2	-2.3	-1.7	5	3
#FFF7F4	-2	-1	-2.3	-1.7	6	3
#64CAFF	-1	-1.11022302462516e-16	-2.3	-1.7	7	3
#BEBEBE	-0.5	0.5	-0.3	0.3	1	4
#BEBEBE	-1	0	-1.3	-0.7	2	4
#BEBEBE	0	1	-1.3	-0.7	3	4
#B2E1FF	-1.11022302462516e-16	1	-2.3	-1.7	4	4
#FF5636	1	2	-2.3	-1.7	5	4
#BEBEBE	-2	-1	-2.3	-1.7	6	4
#64CAFF	-1	-1.11022302462516e-16	-2.3	-1.7	7	4
#FF6E4D	-2.5	-1.5	-3.3	-2.7	8	4
#A2DBFF	-1.5	-0.5	-3.3	-2.7	9	4
#BEBEBE	-0.5	0.5	-0.3	0.3	1	5
#BEBEBE	-1	0	-1.3	-0.7	2	5
#BEBEBE	0	1	-1.3	-0.7	3	5
#B2E1FF	-1.11022302462516e-16	1	-2.3	-1.7	4	5
#FF5636	1	2	-2.3	-1.7	5	5
#BEBEBE	-2	-1	-2.3	-1.7	6	5
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	5
#FF6E4D	-3	-2	-3.3	-2.7	8	5
#A2DBFF	-2	-1	-3.3	-2.7	9	5
#00BFFF	-1	-2.22044604925031e-16	-3.3	-2.7	10	5
#A1DBFF	-2.22044604925031e-16	1	-3.3	-2.7	11	5
#BEBEBE	-0.5	0.5	-0.3	0.3	1	6
#BEBEBE	-1	0	-1.3	-0.7	2	6
#BEBEBE	0	1	-1.3	-0.7	3	6
#B2E1FF	-1.11022302462516e-16	1	-2.3	-1.7	4	6
#FF5636	1	2	-2.3	-1.7	5	6
#BEBEBE	-2	-1	-2.3	-1.7	6	6
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	6
#FF6E4D	-3	-2	-3.3	-2.7	8	6
#BEBEBE	-2	-1	-3.3	-2.7	9	6
#00BFFF	-1	-2.22044604925031e-16	-3.3	-2.7	10	6
#A1DBFF	-2.22044604925031e-16	1	-3.3	-2.7	11	6
#EBF7FF	-2.5	-1.5	-4.3	-3.7	12	6
#75CEFF	-1.5	-0.5	-4.3	-3.7	13	6
#BEBEBE	-0.5	0.5	-0.3	0.3	1	7
#BEBEBE	-1	0	-1.3	-0.7	2	7
#BEBEBE	0	1	-1.3	-0.7	3	7
#B2E1FF	-1.11022302462516e-16	1	-2.3	-1.7	4	7
#FF5636	1	2	-2.3	-1.7	5	7
#BEBEBE	-2	-1	-2.3	-1.7	6	7
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	7
#FF6E4D	-3	-2	-3.3	-2.7	8	7
#BEBEBE	-2	-1	-3.3	-2.7	9	7
#00BFFF	-1	-2.22044604925031e-16	-3.3	-2.7	10	7
#A1DBFF	-2.22044604925031e-16	1	-3.3	-2.7	11	7
#EBF7FF	-2.5	-1.5	-4.3	-3.7	12	7
#BEBEBE	-1.5	-0.5	-4.3	-3.7	13	7
#00BFFF	-2	-1	-5.3	-4.7	14	7
#ABDFFF	-1	0	-5.3	-4.7	15	7
#BEBEBE	-0.5	0.5	-0.3	0.3	1	8
#BEBEBE	-1	0	-1.3	-0.7	2	8
#BEBEBE	0	1	-1.3	-0.7	3	8
#B2E1FF	-1.11022302462516e-16	1	-2.3	-1.7	4	8
#FF5636	1	2	-2.3	-1.7	5	8
#BEBEBE	-2	-1	-2.3	-1.7	6	8
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	8
#FF6E4D	-3	-2	-3.3	-2.7	8	8
#BEBEBE	-2	-1	-3.3	-2.7	9	8
#00BFFF	-1	-2.22044604925031e-16	-3.3	-2.7	10	8
#A1DBFF	-2.22044604925031e-16	1	-3.3	-2.7	11	8
#EBF7FF	-2.5	-1.5	-4.3	-3.7	12	8
#BEBEBE	-1.5	-0.5	-4.3	-3.7	13	8
#00BFFF	-2	-1	-5.3	-4.7	14	8
#BEBEBE	-1	0	-5.3	-4.7	15	8
#FFFFFF	-1.5	-0.5	-6.3	-5.7	16	8
#00BFFF	-0.5	0.5	-6.3	-5.7	17	8
#BEBEBE	-0.5	0.5	-0.3	0.3	1	9
#BEBEBE	-1	0	-1.3	-0.7	2	9
#BEBEBE	0	1	-1.3	-0.7	3	9
#B2E1FF	-1.11022302462516e-16	1	-2.3	-1.7	4	9
#FF5636	1	2	-2.3	-1.7	5	9
#BEBEBE	-2	-1	-2.3	-1.7	6	9
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	9
#BEBEBE	-3	-2	-3.3	-2.7	8	9
#BEBEBE	-2	-1	-3.3	-2.7	9	9
#00BFFF	-1	-2.22044604925031e-16	-3.3	-2.7	10	9
#A1DBFF	-2.22044604925031e-16	1	-3.3	-2.7	11	9
#EBF7FF	-2	-1	-4.3	-3.7	12	9
#BEBEBE	-1	0	-4.3	-3.7	13	9
#00BFFF	-1.5	-0.5	-5.3	-4.7	14	9
#BEBEBE	-0.5	0.5	-5.3	-4.7	15	9
#FFFFFF	-1	0	-6.3	-5.7	16	9
#00BFFF	0	1	-6.3	-5.7	17	9
#FF8C6D	-4	-3	-4.3	-3.7	18	9
#FF0000	-3	-2	-4.3	-3.7	19	9
