fill	y	x	key	clickSelects	showSelected2	showSelected3	PANEL
transparent	-0.00457310117080567	0.0237343937624246	2 0.0237343937624246	X1<0.023734	2	sub-optimal	1
transparent	-0.187797130920927	0.0248533471021801	2 0.0248533471021801	X1<0.024853	2	sub-optimal	1
transparent	-0.556148177660489	0.030959413619712	2 0.030959413619712	X1<0.030959	2	sub-optimal	1
transparent	-0.254409115453029	0.0395219983765855	2 0.0395219983765855	X1<0.039522	2	sub-optimal	1
transparent	-0.0846079969443707	0.0435703630791977	2 0.0435703630791977	X1<0.043570	2	sub-optimal	1
transparent	-0.323192938984732	0.0550734286662191	2 0.0550734286662191	X1<0.055073	2	sub-optimal	1
transparent	-0.676369783821414	0.0655585838248953	2 0.0655585838248953	X1<0.065559	2	sub-optimal	1
transparent	-0.394257924428089	0.0704574675764889	2 0.0704574675764889	X1<0.070457	2	sub-optimal	1
transparent	-0.746221131832058	0.0763374969828874	2 0.0763374969828874	X1<0.076337	2	sub-optimal	1
transparent	-0.46772095334795	0.078479875694029	2 0.078479875694029	X1<0.078480	2	sub-optimal	1
transparent	-0.820571947569079	0.0821269832085818	2 0.0821269832085818	X1<0.082127	2	sub-optimal	1
transparent	-1.24656679352434	0.0860745509853587	2 0.0860745509853587	X1<0.086075	2	sub-optimal	1
transparent	-1.73635511075808	0.0900922525906935	2 0.0900922525906935	X1<0.090092	2	sub-optimal	1
transparent	-1.32149406215329	0.0970493158092722	2 0.0970493158092722	X1<0.097049	2	sub-optimal	1
transparent	-1.80408293126222	0.103078606305644	2 0.103078606305644	X1<0.103079	2	sub-optimal	1
transparent	-1.40241862157053	0.107819334021769	2 0.107819334021769	X1<0.107819	2	sub-optimal	1
transparent	-1.88073632981242	0.11281948746182	2 0.11281948746182	X1<0.112819	2	sub-optimal	1
transparent	-2.4112288387286	0.11519660113845	2 0.11519660113845	X1<0.115197	2	sub-optimal	1
transparent	-1.96507187841901	0.116796790622175	2 0.116796790622175	X1<0.116797	2	sub-optimal	1
transparent	-2.49177735707683	0.123480718466453	2 0.123480718466453	X1<0.123481	2	sub-optimal	1
transparent	-3.06576269331958	0.128917979658581	2 0.128917979658581	X1<0.128918	2	sub-optimal	1
transparent	-3.68455512173458	0.129889608710073	2 0.129889608710073	X1<0.129890	2	sub-optimal	1
transparent	-3.15268728940642	0.131496121990494	2 0.131496121990494	X1<0.131496	2	sub-optimal	1
transparent	-3.76818512163541	0.135558155016042	2 0.135558155016042	X1<0.135558	2	sub-optimal	1
transparent	-4.4262194484896	0.143081043031998	2 0.143081043031998	X1<0.143081	2	sub-optimal	1
transparent	-5.12550496370022	0.148332321085036	2 0.148332321085036	X1<0.148332	2	sub-optimal	1
transparent	-4.52071848946811	0.149858307442628	2 0.149858307442628	X1<0.149858	2	sub-optimal	1
transparent	-5.2185843763704	0.150485596386716	2 0.150485596386716	X1<0.150486	2	sub-optimal	1
transparent	-5.95694716396535	0.156851156265475	2 0.156851156265475	X1<0.156851	2	sub-optimal	1
transparent	-5.3268897933274	0.163921556901187	2 0.163921556901187	X1<0.163922	2	sub-optimal	1
transparent	-4.74859597919529	0.164737868937664	2 0.164737868937664	X1<0.164738	2	sub-optimal	1
transparent	-5.44943199344944	0.166442708112299	2 0.166442708112299	X1<0.166443	2	sub-optimal	1
transparent	-4.88065068763244	0.170147194410674	2 0.170147194410674	X1<0.170147	2	sub-optimal	1
transparent	-4.35584123440994	0.17518878984265	2 0.17518878984265	X1<0.175189	2	sub-optimal	1
transparent	-5.02435397079532	0.178294185781851	2 0.178294185781851	X1<0.178294	2	sub-optimal	1
transparent	-4.50431042806552	0.179636680521071	2 0.179636680521071	X1<0.179637	2	sub-optimal	1
transparent	-4.02251873205698	0.181497157085687	2 0.181497157085687	X1<0.181497	2	sub-optimal	1
transparent	-4.66304335517124	0.182773720822297	2 0.182773720822297	X1<0.182774	2	sub-optimal	1
transparent	-4.1826139535013	0.18402334570419	2 0.18402334570419	X1<0.184023	2	sub-optimal	1
transparent	-3.73609614243834	0.184777861577459	2 0.184777861577459	X1<0.184778	2	sub-optimal	1
transparent	-3.32150228283318	0.185072884894907	2 0.185072884894907	X1<0.185073	2	sub-optimal	1
transparent	-3.90461687004306	0.191020168247633	2 0.191020168247633	X1<0.191020	2	sub-optimal	1
transparent	-4.53205756477333	0.198249337496236	2 0.198249337496236	X1<0.198249	2	sub-optimal	1
transparent	-5.20405077183557	0.199849189142697	2 0.199849189142697	X1<0.199849	2	sub-optimal	1
transparent	-5.92102912950641	0.20045562973246	2 0.20045562973246	X1<0.200456	2	sub-optimal	1
transparent	-5.40764002599182	0.201244466705248	2 0.201244466705248	X1<0.201244	2	sub-optimal	1
transparent	-6.1387496963274	0.203831824124791	2 0.203831824124791	X1<0.203832	2	sub-optimal	1
transparent	-6.916603662928	0.212392318877392	2 0.212392318877392	X1<0.212392	2	sub-optimal	1
transparent	-6.37082841235493	0.222250327235088	2 0.222250327235088	X1<0.222250	2	sub-optimal	1
transparent	-5.85390077562384	0.232360110268928	2 0.232360110268928	X1<0.232360	2	sub-optimal	1
transparent	-5.364477985866	0.23993882862851	2 0.23993882862851	X1<0.239939	2	sub-optimal	1
transparent	-6.09842434716856	0.243136907112785	2 0.243136907112785	X1<0.243137	2	sub-optimal	1
transparent	-6.88206734576424	0.251021129544824	2 0.251021129544824	X1<0.251021	2	sub-optimal	1
transparent	-6.35869525362202	0.258525689016096	2 0.258525689016096	X1<0.258526	2	sub-optimal	1
transparent	-5.86084335279666	0.267083358601667	2 0.267083358601667	X1<0.267083	2	sub-optimal	1
transparent	-6.63604558084772	0.274633940192871	2 0.274633940192871	X1<0.274634	2	sub-optimal	1
transparent	-6.13305577824012	0.275551112601534	2 0.275551112601534	X1<0.275551	2	sub-optimal	1
transparent	-5.65378016585537	0.279929986572824	2 0.279929986572824	X1<0.279930	2	sub-optimal	1
transparent	-6.42327524062343	0.28451476036571	2 0.28451476036571	X1<0.284515	2	sub-optimal	1
transparent	-7.24838288355169	0.285152392461896	2 0.285152392461896	X1<0.285152	2	sub-optimal	1
transparent	-6.73327919690532	0.286204032832757	2 0.286204032832757	X1<0.286204	2	sub-optimal	1
transparent	-6.24042328146003	0.287516793585382	2 0.287516793585382	X1<0.287517	2	sub-optimal	1
transparent	-5.769113536831	0.289734941557981	2 0.289734941557981	X1<0.289735	2	sub-optimal	1
transparent	-6.564605549466	0.291737564140931	2 0.291737564140931	X1<0.291738	2	sub-optimal	1
transparent	-6.08500813624038	0.294476487673819	2 0.294476487673819	X1<0.294476	2	sub-optimal	1
transparent	-5.6257506740387	0.296949366573244	2 0.296949366573244	X1<0.296949	2	sub-optimal	1
transparent	-6.42395331712406	0.298555508372374	2 0.298555508372374	X1<0.298556	2	sub-optimal	1
transparent	-7.28666534827597	0.302601688425057	2 0.302601688425057	X1<0.302602	2	sub-optimal	1
transparent	-8.21791108363674	0.307742096367292	2 0.307742096367292	X1<0.307742	2	sub-optimal	1
transparent	-7.69063028035984	0.311019049375318	2 0.311019049375318	X1<0.311019	2	sub-optimal	1
transparent	-7.1825385204199	0.313761122408323	2 0.313761122408323	X1<0.313761	2	sub-optimal	1
transparent	-8.12825144806295	0.319793840171769	2 0.319793840171769	X1<0.319794	2	sub-optimal	1
transparent	-7.60933470791083	0.329834020347334	2 0.329834020347334	X1<0.329834	2	sub-optimal	1
transparent	-8.60427302539016	0.33800692204386	2 0.33800692204386	X1<0.338007	2	sub-optimal	1
transparent	-9.68486790321198	0.343670244561508	2 0.343670244561508	X1<0.343670	2	sub-optimal	1
transparent	-9.12448987787944	0.348180329776369	2 0.348180329776369	X1<0.348180	2	sub-optimal	1
transparent	-8.58166379630259	0.34924258524552	2 0.34924258524552	X1<0.349243	2	sub-optimal	1
transparent	-9.69608781549108	0.350019667414017	2 0.350019667414017	X1<0.350020	2	sub-optimal	1
transparent	-10.9147323723503	0.353852582513355	2 0.353852582513355	X1<0.353853	2	sub-optimal	1
transparent	-12.2508656700474	0.358912586583756	2 0.358912586583756	X1<0.358913	2	sub-optimal	1
transparent	-11.6334997899043	0.367060573771596	2 0.367060573771596	X1<0.367061	2	sub-optimal	1
transparent	-11.0323636341314	0.376678721862845	2 0.376678721862845	X1<0.376679	2	sub-optimal	1
transparent	-10.4471121019621	0.383774210931733	2 0.383774210931733	X1<0.383774	2	sub-optimal	1
transparent	-9.87743441481537	0.387746866676025	2 0.387746866676025	X1<0.387747	2	sub-optimal	1
transparent	-9.32305295113447	0.388044474180788	2 0.388044474180788	X1<0.388044	2	sub-optimal	1
transparent	-10.6364087415922	0.391096187522635	2 0.391096187522635	X1<0.391096	2	sub-optimal	1
transparent	-12.1065628088336	0.395532014663331	2 0.395532014663331	X1<0.395532	2	sub-optimal	1
#4DAF4A	-13.7666201377043	0.398266981705092	2 0.398266981705092	X1<0.398267	2	chosen_split	1
transparent	-13.1290760871659	0.400309294695035	2 0.400309294695035	X1<0.400309	2	sub-optimal	1
transparent	-12.5052765679513	0.401871886919253	2 0.401871886919253	X1<0.401872	2	sub-optimal	1
transparent	-11.8949653186229	0.40396245860029	2 0.40396245860029	X1<0.403962	2	sub-optimal	1
transparent	-11.2979128142265	0.405984268174507	2 0.405984268174507	X1<0.405984	2	sub-optimal	1
transparent	-13.0618563559965	0.4168148789322	2 0.4168148789322	X1<0.416815	2	sub-optimal	1
transparent	-12.4425474270354	0.427291237749159	2 0.427291237749159	X1<0.427291	2	sub-optimal	1
transparent	-11.8355813345767	0.432563537382521	2 0.432563537382521	X1<0.432564	2	sub-optimal	1
transparent	-11.2407718832117	0.438759828102775	2 0.438759828102775	X1<0.438760	2	sub-optimal	1
transparent	-10.6579570532079	0.441852807882242	2 0.441852807882242	X1<0.441853	2	sub-optimal	1
transparent	-10.0869993446956	0.444241595338099	2 0.444241595338099	X1<0.444242	2	sub-optimal	1
transparent	-9.5277863728754	0.4490931147011	2 0.4490931147011	X1<0.449093	2	sub-optimal	1
transparent	-8.98023174252099	0.457439052755944	2 0.457439052755944	X1<0.457439	2	sub-optimal	1
transparent	-8.44427623861192	0.462654642178677	2 0.462654642178677	X1<0.462655	2	sub-optimal	1
transparent	-10.2279277389266	0.465913347317837	2 0.465913347317837	X1<0.465913	2	sub-optimal	1
transparent	-9.66184311725563	0.473298299242742	2 0.473298299242742	X1<0.473298	2	sub-optimal	1
transparent	-9.10633969785491	0.483675657189451	2 0.483675657189451	X1<0.483676	2	sub-optimal	1
transparent	-8.56137503418279	0.495371556142345	2 0.495371556142345	X1<0.495372	2	sub-optimal	1
transparent	-8.02693503881757	0.502510058227927	2 0.502510058227926	X1<0.502510	2	sub-optimal	1
transparent	-7.50303661176424	0.50866599928122	2 0.50866599928122	X1<0.508666	2	sub-optimal	1
transparent	-6.9897309354797	0.523912533186376	2 0.523912533186376	X1<0.523913	2	sub-optimal	1
transparent	-6.48710759677351	0.536206377553754	2 0.536206377553754	X1<0.536206	2	sub-optimal	1
transparent	-5.99529974693714	0.541436879779212	2 0.541436879779212	X1<0.541437	2	sub-optimal	1
transparent	-5.51449058170871	0.546994024771266	2 0.546994024771266	X1<0.546994	2	sub-optimal	1
transparent	-5.04492152044546	0.5513289043447	2 0.5513289043447	X1<0.551329	2	sub-optimal	1
transparent	-6.84302167497178	0.556530848611146	2 0.556530848611146	X1<0.556531	2	sub-optimal	1
transparent	-6.32643478969749	0.561612074496225	2 0.561612074496225	X1<0.561612	2	sub-optimal	1
transparent	-5.81922741801057	0.56591929984279	2 0.56591929984279	X1<0.565919	2	sub-optimal	1
transparent	-5.32159632972881	0.570373913738877	2 0.570373913738877	X1<0.570374	2	sub-optimal	1
transparent	-4.83380832642872	0.572215375024825	2 0.572215375024825	X1<0.572215	2	sub-optimal	1
transparent	-4.35621735003917	0.573005669168197	2 0.573005669168197	X1<0.573006	2	sub-optimal	1
transparent	-7.16362559590225	0.573851637658663	2 0.573851637658663	X1<0.573852	2	sub-optimal	1
transparent	-6.61707647090763	0.58514691866003	2 0.58514691866003	X1<0.585147	2	sub-optimal	1
transparent	-6.07635207782114	0.60493490321096	2 0.60493490321096	X1<0.604935	2	sub-optimal	1
transparent	-5.54132665799854	0.619537319638766	2 0.619537319638766	X1<0.619537	2	sub-optimal	1
transparent	-5.01187857175842	0.626159008126706	2 0.626159008126706	X1<0.626159	2	sub-optimal	1
transparent	-4.48789011682639	0.628333056811243	2 0.628333056811243	X1<0.628333	2	sub-optimal	1
transparent	-3.96924735685415	0.639989405288361	2 0.639989405288361	X1<0.639989	2	sub-optimal	1
transparent	-3.45583995933866	0.650781711214222	2 0.650781711214222	X1<0.650782	2	sub-optimal	1
transparent	-2.94756104232006	0.656476598698646	2 0.656476598698646	X1<0.656477	2	sub-optimal	1
transparent	-2.44430702928578	0.663753587985411	2 0.663753587985411	X1<0.663754	2	sub-optimal	1
transparent	-0.255398605322419	0.780066763050854	4 0.780066763050854	X1<0.780067	4	sub-optimal	1
transparent	-0.0823266619227496	0.783065955736674	4 0.783065955736674	X1<0.783066	4	sub-optimal	1
transparent	-0.008384720399782	0.798138087731786	4 0.798138087731786	X1<0.798138	4	sub-optimal	1
transparent	-0.00781638291443798	0.811128479079343	4 0.811128479079343	X1<0.811128	4	sub-optimal	1
transparent	-0.066437990733732	0.812777684652247	4 0.812777684652247	X1<0.812778	4	sub-optimal	1
transparent	-0.176144866063275	0.823572244727984	4 0.823572244727984	X1<0.823572	4	sub-optimal	1
transparent	-0.332480557112753	0.836909996694885	4 0.836909996694885	X1<0.836910	4	sub-optimal	1
transparent	-0.0142729741568388	0.846959815360606	4 0.846959815360606	X1<0.846960	4	sub-optimal	1
transparent	-0.0762438021586611	0.86069655767642	4 0.86069655767642	X1<0.860697	4	sub-optimal	1
transparent	-0.0243185884484873	0.87679094739724	4 0.87679094739724	X1<0.876791	4	sub-optimal	1
transparent	0	0.886360694770701	4 0.886360694770701	X1<0.886361	4	sub-optimal	1
transparent	-0.0243185884484873	0.892978051677346	4 0.892978051677346	X1<0.892978	4	sub-optimal	1
transparent	-0.0982043785724471	0.901385988574475	4 0.901385988574475	X1<0.901386	4	sub-optimal	1
transparent	-0.224573539967487	0.916760126361623	4 0.916760126361623	X1<0.916760	4	sub-optimal	1
transparent	-0.408745486478047	0.936779780313373	4 0.936779780313373	X1<0.936780	4	sub-optimal	1
transparent	-0.659290001686703	0.944541693083011	4 0.944541693083011	X1<0.944542	4	sub-optimal	1
transparent	-0.989634054410466	0.945256063947454	4 0.945256063947454	X1<0.945256	4	sub-optimal	1
transparent	-0.31383167452239	0.95451391255483	4 0.95451391255483	X1<0.954514	4	sub-optimal	1
transparent	-0.574612647570746	0.969223821070045	4 0.969223821070045	X1<0.969224	4	sub-optimal	1
transparent	-0.956810297165525	0.974826205405407	4 0.974826205405407	X1<0.974826	4	sub-optimal	1
transparent	-0.255398605322419	0.97522279410623	4 0.97522279410623	X1<0.975223	4	sub-optimal	1
transparent	-0.346057159606632	0.752031189505942	5 0.752031189505942	X1<0.752031	5	sub-optimal	1
transparent	-0.220218560035052	0.757987864781171	5 0.757987864781171	X1<0.757988	5	sub-optimal	1
transparent	-0.131253285418046	0.765270584844984	5 0.765270584844984	X1<0.765271	5	sub-optimal	1
transparent	-0.0695956282586767	0.782156650675461	5 0.782156650675461	X1<0.782157	5	sub-optimal	1
transparent	-0.0294387565897143	0.794574634172022	5 0.794574634172022	X1<0.794575	5	sub-optimal	1
transparent	-0.00706006555170369	0.802527984022163	5 0.802527984022163	X1<0.802528	5	sub-optimal	1
transparent	1.77635683940025e-15	0.813994431984611	5 0.813994431984611	X1<0.813994	5	sub-optimal	1
transparent	-0.00662318894130642	0.821562366443686	5 0.821562366443686	X1<0.821562	5	sub-optimal	1
transparent	-0.025869895151919	0.82712506945245	5 0.82712506945245	X1<0.827125	5	sub-optimal	1
transparent	-0.393713794455726	0.832905651186593	5 0.832905651186593	X1<0.832906	5	sub-optimal	1
transparent	-0.300809410936283	0.837000492843799	5 0.837000492843799	X1<0.837000	5	sub-optimal	1
#FFA500	-2.33175016969266	0.840770405950025	5 0.840770405950025	X1<0.840770	5	can_split	1
transparent	-2.13100384418713	0.849074885016307	5 0.849074885016307	X1<0.849075	5	sub-optimal	1
transparent	-1.94288945293137	0.855122883920558	5 0.855122883920558	X1<0.855123	5	sub-optimal	1
transparent	-1.76590703020332	0.857799059362151	5 0.857799059362151	X1<0.857799	5	sub-optimal	1
transparent	-1.59880945640504	0.863967077340931	5 0.863967077340931	X1<0.863967	5	sub-optimal	1
transparent	-1.44054852846827	0.870778688578866	5 0.870778688578866	X1<0.870779	5	sub-optimal	1
transparent	-1.29023470880861	0.883921780739911	5 0.883921780739911	X1<0.883922	5	sub-optimal	1
transparent	-1.14710658323856	0.907211738522165	5 0.907211738522165	X1<0.907212	5	sub-optimal	1
transparent	-1.01050734237037	0.931375607266091	5 0.931375607266091	X1<0.931376	5	sub-optimal	1
transparent	-0.879866430707116	0.943758383393288	5 0.943758383393288	X1<0.943758	5	sub-optimal	1
transparent	-0.754685056341096	0.948371022474021	5 0.948371022474021	X1<0.948371	5	sub-optimal	1
