group	y	x	PANEL
4	-0.255398605322419	0.780066763050854	1
4	-0.0823266619227496	0.783065955736674	1
4	-0.008384720399782	0.798138087731786	1
4	-0.00781638291443798	0.811128479079343	1
4	-0.066437990733732	0.812777684652247	1
4	-0.176144866063275	0.823572244727984	1
4	-0.332480557112753	0.836909996694885	1
4	-0.0142729741568388	0.846959815360606	1
4	-0.0762438021586611	0.86069655767642	1
4	-0.0243185884484873	0.87679094739724	1
4	0	0.886360694770701	1
4	-0.0243185884484873	0.892978051677346	1
4	-0.0982043785724471	0.901385988574475	1
4	-0.224573539967487	0.916760126361623	1
4	-0.408745486478047	0.936779780313373	1
4	-0.659290001686703	0.944541693083011	1
4	-0.989634054410466	0.945256063947454	1
4	-0.31383167452239	0.95451391255483	1
4	-0.574612647570746	0.969223821070045	1
4	-0.956810297165525	0.974826205405407	1
4	-0.255398605322419	0.97522279410623	1
5	-0.346057159606632	0.752031189505942	1
5	-0.220218560035052	0.757987864781171	1
5	-0.131253285418046	0.765270584844984	1
5	-0.0695956282586767	0.782156650675461	1
5	-0.0294387565897143	0.794574634172022	1
5	-0.00706006555170369	0.802527984022163	1
5	1.77635683940025e-15	0.813994431984611	1
5	-0.00662318894130642	0.821562366443686	1
5	-0.025869895151919	0.82712506945245	1
5	-0.393713794455726	0.832905651186593	1
5	-0.300809410936283	0.837000492843799	1
5	-2.33175016969266	0.840770405950025	1
5	-2.13100384418713	0.849074885016307	1
5	-1.94288945293137	0.855122883920558	1
5	-1.76590703020332	0.857799059362151	1
5	-1.59880945640504	0.863967077340931	1
5	-1.44054852846827	0.870778688578866	1
5	-1.29023470880861	0.883921780739911	1
5	-1.14710658323856	0.907211738522165	1
5	-1.01050734237037	0.931375607266091	1
5	-0.879866430707116	0.943758383393288	1
5	-0.754685056341096	0.948371022474021	1
5	-0.634524624762994	0.953166913008317	1
5	-0.518997415328496	0.958138818736188	1
6	-0.157450987909385	0.0237343937624246	1
6	-0.00607288590913413	0.0248533471021801	1
6	-0.0376417652293668	0.030959413619712	1
6	-0.00829018217248745	0.0395219983765855	1
6	-0.119380127495617	0.0435703630791977	1
6	-0.0106157651406491	0.0550734286662191	1
6	-0.0141016877763462	0.0655585838248953	1
6	-0.0130577694037086	0.0704574675764889	1
6	-0.00849134386959349	0.0763374969828874	1
6	-0.0156251656149919	0.078479875694029	1
6	-0.00483048248229068	0.0821269832085818	1
6	-0.0646624612374822	0.0860745509853587	1
6	-0.185780119117119	0.0900922525906935	1
6	-0.0513872506916897	0.0970493158092722	1
6	-0.157701751011565	0.103078606305644	1
6	-0.0409647490674843	0.107819334021769	1
6	-0.135079140435593	0.11281948746182	1
6	-0.278682902476291	0.11519660113845	1
6	-0.116473454967519	0.116796790622175	1
6	-0.247910010656561	0.123480718466453	1
6	-0.423866863446662	0.128917979658581	1
6	-0.641910922544533	0.129889608710073	1
6	-0.386354721799833	0.131496121990494	1
6	-0.592140769775881	0.135558155016042	1
6	-0.837700461426707	0.143081043031998	1
6	-1.12182055281515	0.148332321085036	1
6	-0.783995979735302	0.149858307442628	1
6	-1.05713449264495	0.150485596386716	1
6	-1.36809321505418	0.156851156265475	1
6	-1.00111578423594	0.163921556901187	1
6	-0.696742892617671	0.164737868937664	1
6	-0.952348233860903	0.166442708112299	1
6	-0.661044765489635	0.170147194410674	1
6	-0.42573389163968	0.17518878984265	1
6	-0.629589484028458	0.178294185781851	1
6	-0.403189960885804	0.179636680521071	1
6	-0.228458887477181	0.181497157085687	1
6	-0.383067920611566	0.182773720822297	1
6	-0.214577172854348	0.18402334570419	1
6	-0.0950855126791126	0.184777861577459	1
6	-0.023729367756026	0.185072884894907	1
